SAPID,Date,Unit_id,Unit_name,retirement
SAPID,Date,Unit_id,Unit_name,retirement
SAPID,Date,Unit_id,Unit_name,retirement
"11002360","41214","50000136","Wydział Historyczny",
"11003151","40817","50000145","Wydz. Studiów Międzynarod",
"11003391","41214","50000143","Wydz.Biochemii, Biofiz. i",
"11003395","41183","50000136","Wydział Historyczny",
"11003407","41183","50000141","Wydział Chemii",
"11003421","40817","50000140","Wydział Matematyki i Info",
"11003660","40817","50000138","Wydział Polonistyki",
"11003693","40087","50000134","Wydział Prawa i Administr",
"11003748","40909","50000141","Wydział Chemii",
"11003897","41091","50000141","Wydział Chemii",
"11003915","39814","50000135","Wydział Filozoficzny",
"11003967","41275","0",,
"11004104","40087","50000134","Wydział Prawa i Administr",
"11004136","40634","50000137","Wydział Filologiczny",
"11004137","41183","50000134","Wydział Prawa i Administr",
"11004146","40483","50000139","Wydz. Fizyki, Astronom. i",
"11004149","41091","50000141","Wydział Chemii",
"11004158","39814","50000140","Wydział Matematyki i Info",
"11004171","40087","50000136","Wydział Historyczny",
"11004184","39814","50000134","Wydział Prawa i Administr",
"11004187","39814","50000143","Wydz.Biochemii, Biofiz. i",
"11004189","39965","50000135","Wydział Filozoficzny",
"11004332","39965","50000136","Wydział Historyczny",
"11004446","40180","50000144","Wydz. Zarządz. i Komunika",
"11004505","39814","50000136","Wydział Historyczny",
"11004507","40452","50000142","Wydział Biologii i Nauk o",
"11004518","40544","50000144","Wydz. Zarządz. i Komunika",
"11004535","41275","50000055","Pion Pror. ds. polit. kad",
"11004545","40544","50000135","Wydział Filozoficzny",
"11004590","39814","50000142","Wydział Biologii i Nauk o",
"11004652","41183","50000141","Wydział Chemii",
"11004758","39814","50000142","Wydział Biologii i Nauk o",
"11004759","40817","50000134","Wydział Prawa i Administr",
"11004766","39965","50000145","Wydz. Studiów Międzynarod",
"11004768","41153","50000137","Wydział Filologiczny",
"11004770","41153","50000137","Wydział Filologiczny",
"11004771","41153","50000138","Wydział Polonistyki",
"11004786","39814","50000140","Wydział Matematyki i Info",
