issn,eissn
15343219,
,20926731
01285157,
16194500,16142411
03899160,
16607880,
00968994,
00965359,
00965979,
05673933,
00966703,
08882479,
03758540,
00966886,
00966339,
00966894,
00966711,
00966908,
13028324,
01715410,
07434618,14773848
18448143,18449166
15597768,
10790713,15389812
10467467,
00946354,
07441479,
23755776,
08910162,
01491423,
02718529,
10545913,
15507416,
15221059,
15309932,15221059
02507803,
00010197,
07303564,
15328813,
00010340,
21649731,
15397890,
07470088,
00013072,
10133119,
02768291,
09428925,14320509
10515526,
00255858,
18680356,
03657000,
0174870X,
00013277,
00965995,
10853375,16870409
01336215,
01266209,
01902946,
10128255,
00013854,
10696563,
19958943,
15837904,
0258879X,
16718267,
15337812,
10402446,
18762859,18762867
10429670,15457230
08954852,
10766332,
10963685,
19392230,
10879595,
19416520,19416067
10795545,
00014273,
1537260X,
15589080,
03637425,
10956298,
15441458,
00445851,
01328077,22215115
0044586X,
15568571,
10621458,
00014575,
09652302,
08989621,
00014788,
08105391,
15309320,
09639284,14684489
01559982,
23274468,
10323732,17493374
21552851,2155286X
08887993,15587975
17449480,17449499
1911382X,
10309616,
00014826,
09513574,
09585206,14664275
09598022,18737595
03613682,
00014842,15204898
09491775,14320517
20271131,
12178969,
0889325X,
08893241,
10249435,15612880
19322232,
03600300,
21532184,21532192
15314278,
15504832,
15232867,
19367228,
15496325,
15443558,15443965
15300226,
15564665,
19423454,
15293785,
07342071,
10730516,
,19466226
03625915,
10844309,
07300301,
10949224,
10468188,
21576904,21576912
15335399,
15564681,
2158656X,
00983500,
10493301,
15516857,
07342047,
01640925,
19367406,19367414
15504859,
1049331X,
15504875,
15533077,
15591131,
14929732,
10856862,
1074861X,
08971471,
14487535,
15297853,
10637710,15626865
13463969,13475177
08146039,
0308437X,
01401599,
10568751,
08963576,1544435X
15851923,15882519
19448244,19448252
21555435,
15548929,15548937
19487193,
21568952,21568944
21611653,
19485875,
19360851,1936086X
,23304022
21680485,
00976156,
21615063,
07479417,
10915397,
03653056,
1000243X,
02533650,
02534290,
02533316,
05872405,
16101928,
00650900,
00015113,
09064702,16511972
09064710,16511913
15819175,
01202812,
02380161,
18752780,
01393006,
00015148,
0065096X,
00445967,
00015156,
00015164,
03744965,
11248882,
00015172,13996576
05152720,
05295769,
02541319,
03535150,
00015180,
05291356,
1234950X,16443276
00445975,15882543
01678019,15729036
00015202,
0065101X,16000390
00015210,15882551
00651036,
00945765,
00015237,
00651044,
04003977,
07760353,
07715684,
00015253,
02376261,
16729145,17457270
05829879,
0001527X,
07175906,1726569X
03650820,
00015288,
01779214,
0120548X,
00015296,
0001530X,
00015318,
02365383,
1588385X,15884082
17427061,
03924203,
03252957,
01384988,
00015342,15728358
08003831,1503111X
01023306,
03650588,
00015369,
12538078,
02366495,15882578
02109506,
01877151,
00445983,
05777496,
00845906,
03650766,
00015385,
10116842,
11248874,
05836050,15802612
00015393,
0904213X,
03024369,
00015407,
02313146,
05677351,
13180207,
15081109,
00015415,
00015423,
03230414,
00015431,
0001544X,
00015458,
02314614,
00015466,
0354950X,
03906892,
00015482,
03011860,
12332356,
00015504,
01028650,
00651141,
00015512,
05677386,
03539466,13339451
03539474,
01239155,
02315955,
03020029,
0365110X,
,20532733
01087673,
01087681,16005740
20525206,
01082701,16005759
09074449,13990047
16005368,
17443091,
,2053230X
05677408,
,20532296
0324721X,
00015547,
00651176,
03760189,
00015555,16512057
03658341,
13184458,
1330027X,
03024466,
09405429,
00015563,
10000933,
03919706,
05677416,
00651184,
18410987,
00015598,
04004000,
03009750,
0240642X,12421383
03979164,
08674140,
03741036,
04546296,
14062283,22284699
12169803,15882586
08739749,14379546
00651206,
03516083,
03012298,
13363824,
03262383,
00015636,
00015644,
03009033,
05677440,
00015660,
10011595,
22135812,22135820
12178977,15871037
03741842,
02365758,
12149705,
00015687,
13300466,
00651249,
00651257,
03755444,
15818314,
05677505,
02365278,
00015709,
00015717,
10009515,
13380044,13385674
18956572,18957455
00015725,
00015733,
10063021,
18611125,18611133
18540171,
00015776,
00015784,
00015792,14219662
00015814,
0300970X,
,
04514203,
00015822,
18279635,18279643
00651281,
00445991,13475800
14080419,
00015830,15882608
00015857,
00651311,
14062925,17367476
13180185,
05677572,
00446009,
03234320,1521401X
01371592,17341515
00015903,14320525
03538109,
12162574,15882616
15207412,
00651362,
00015938,
01026712,
03740463,
12168076,15882624
07160909,07176848
13596454,
00015962,
08660182,
00015954,
02365294,15882632
02529602,
10009574,
05831431,
14398516,14397617
08629544,
02514184,
01689673,
00015970,16196937
18984088,
05677718,
08949166,18602134
12114286,
1211247X,
00015989,
18401848,18402879
03038173,15632571
03038181,
00016004,
03241750,
13300164,
03794857,
05677734,
02365286,
01259326,
00446025,
03653285,
00016039,
03758338,
03936384,
00016055,
0386300X,
03654540,
00016071,
0870399X,
00016098,
0350364X,18403956
00016101,
0365463X,
00016152,
00016160,
09567151,
10067191,
10009442,
10009450,
13351532,
08940525,
00016187,
12178950,15882640
04389573,
02314622,
01371320,
05677815,
05677823,
07984545,
13351788,
00016217,
02365391,
00016225,
00016233,
00365343,18046479
00016241,
11282460,
20758251,
0392419X,
03654907,
00290386,
00651400,
00016268,09420940
00651419,
03009009,
00016284,
00016314,16000404
00651427,
1028768X,
00016322,14320533
,20515960
09242708,16015215
17307503,
03759245,
09624929,
00016330,
02109832,
00016349,16000412
03008835,
0253505X,
03264815,
00016357,15023850
1146609X,
02437651,
02437678,
0243766X,
00016373,15882659
1509409X,
0284186X,1651226X
11001704,
12114413,
0001639X,
1755375X,17553768
13953907,16000420
13953931,
00651451,
00016446,15882667
00016454,
17453674,17453682
00016462,
1017995X,
03502309,
00016470,16511964
03008827,
17453690,17453704
14137852,
,
00016489,
03655237,
00016497,
0392100X,
00016500,
00016519,
00016527,
00016535,
0231441X,
03745600,
0001656X,
03008843,
00016578,
16088115,
08035253,16512227
08035326,
,
00016586,
00016594,
05677920,
12302821,
00651478,
03655555,16000463
03654184,
03655563,
03041328,
00016632,
01080164,
01080180,
01080202,
0903465X,16005503
01032100,
00016640,
14507188,
10000569,
13300075,
03563456,
00016659,
00016667,
11001801,
13072080,
00016675,
03403157,
1300638X,
10100849,
00016683,
16714083,17457254
11212179,18256562
1593232X,18271766
00016705,
02314428,
12197580,15882675
15899535,
05874246,
18992358,
05874254,
1004423X,
03230465,
10006818,
01375881,
17481708,17481716
00016756,
03239950,
03266656,
00016748,
0231424X,15882683
00016764,
03276309,
00446033,
00016772,1365201X
03022994,
03710874,
07702728,
00845914,
02381249,15882691
05291526,
00016810,
00016829,
00016837,
