"id","autor","afiliuje","zatrudniony"
"16386","Nguyen, Ky-Anh","nie","nie"
"16386","Potempa, Jan [SAP11010833]","tak","tak"
"16312","Potempa, Jan [SAP11010833]","tak","tak"
"16312","Gomis-Rüth, F. Xavier","nie","nie"
"16312","Karim, Abdulkarim Y. [SAP14004882]","tak","tak"
"16318","Kantyka, Tomasz [SAP12019964]","nie","tak"
"16318","Shaw, Lindsey N.","nie","nie"
"16318","Potempa, Jan [SAP11010833]","tak","tak"
"16390","Pike, Robert N.","nie","nie"
"16390","Potempa, Jan [SAP11010833]","tak","tak"
"16310","Potempa, Jan [SAP11010833]","tak","tak"
"16310","Shaw, Lindsey N.","nie","nie"
"16363","Potempa, Jan [SAP11010833]","tak","tak"
"16363","Manandhar, Surya P.","nie","nie"
"16721","Korzeniewski, Bernard [SAP11015089]","tak","tak"
"27791","Zawrotniak, Marcin [SAP13903483]","nie","tak"
"27791","Kozik, Andrzej [SAP11010989]","tak","tak"
"27791","Rąpała-Kozik, Maria [SAP11012697]","tak","tak"
"2395","Beldzik, Ewa [USOS7851]","tak","tak"
"2395","Domagalik-Pittner, Aleksandra [SAP14000219]","nie","nie"
"2395","Daselaar, Sander","nie","nie"
"2395","Fąfrowicz, Magdalena [SAP11014939]","nie","nie"
"2395","Froncisz, Wojciech [SAP11004926]","tak","tak"
"2395","Kontrymowicz-Ogińska, Halszka [SAP13905200]","nie","nie"
"2395","Marek, Tadeusz [SAP11007137]","nie","nie"
"2713","Jakubowska, Monika [SAP14001668]","tak","tak"
"2713","Szczygieł, Małgorzata [SAP13902664]","tak","tak"
"2713","Michalczyk-Wetula, Dominika [SAP13902344]","tak","tak"
"2713","Susz, Anna","nie","nie"
"2713","Stochel, Grażyna [SAP11011061]","nie","nie"
"2713","Elas, Martyna [SAP11015756]","tak","tak"
"2713","Fiedor, Leszek [SAP11012795]","tak","tak"
"2713","Urbańska, Krystyna [SAP11009894]","tak","tak"
"8949","Gawlik-Dziki, Urszula","nie","nie"
"8949","Świeca, Michał","nie","nie"
"8949","Dziki, Dariusz","nie","nie"
"8949","Baraniak, Barbara","nie","nie"
"8949","Tomiło, Justyna","nie","nie"
"8949","Czyż, Jarosław [SAP11015316]","tak","tak"
"3069","Jakubowska, Monika [SAP14001668]","tak","tak"
"3069","Śniegocka, Martyna","nie","tak"
"3069","Michalczyk-Wetula, Dominika [SAP13902344]","tak","tak"
"3069","Urbańska, Krystyna [SAP11009894]","tak","tak"
"3069","Susz, Anna","nie","nie"
"3069","Fiedor, Leszek [SAP11012795]","tak","tak"
"3069","Pyka, Janusz [SAP11117259]","tak","tak"
"3069","Płonka, Przemysław [SAP11015581]","tak","tak"
"4043","Milewska, Aleksandra","nie","tak"
"4043","Ciejka, Justyna [USOS35617]","nie","nie"
"4043","Kamiński, Kamil [SAP14003414]","nie","nie"
"4043","Karewicz, Anna [SAP11116721]","nie","nie"
"4043","Bielska, Dorota [USOS846]","tak","tak"
"4043","Żegleń, Sławomir","nie","nie"
"4043","Karolak, Wojciech","nie","nie"
"4043","Nowakowska, Maria [SAP11005597]","nie","nie"
"4043","Potempa, Jan [SAP11010833]","tak","tak"
"4043","Bosch, Berend Jan","nie","nie"
"4043","Pyrć, Krzysztof [SAP11019543]","tak","tak"
"4043","Szczubiałka, Krzysztof [SAP11014318]","nie","nie"
"3476","Kamiński, Kamil [SAP14003414]","nie","nie"
"3476","Kałaska, Bartłomiej","nie","nie"
"3476","Koczurkiewicz, Paulina [SAP20013377]","nie","nie"
"3476","Michalik, Marta [SAP11010016]","tak","tak"
"3476","Szczubiałka, Krzysztof [SAP11014318]","nie","nie"
"3476","Mogielnicki, Andrzej","nie","nie"
"3476","Buczko, Włodzimierz","nie","nie"
"3476","Nowakowska, Maria [SAP11005597]","nie","nie"
"4370","Nowak, Paweł [USOS78826]","nie","nie"
"4370","Michalik, Maciej","nie","tak"
"4370","Fiedor, Leszek [SAP11012795]","tak","tak"
"4370","Woźniakiewicz, Michał [SAP11019917]","nie","nie"
"4370","Kościelniak, Paweł [SAP11010982]","nie","nie"
"4618","Loch, Joanna I. [SAP13903467]","nie","nie"
"4618","Bonarek, Piotr [SAP11019221]","tak","tak"
"4618","Polit, Agnieszka [SAP11016972]","tak","tak"
"4618","Świątek, Sylwia","nie","nie"
"4618","Dziedzicka-Wasylewska, Marta [SAP11019137]","tak","tak"
"4618","Lewiński, Krzysztof [SAP11011257]","nie","nie"
"4005","Majzner, Katarzyna [USOS120279]","nie","nie"
"4005","Kaczor, Agnieszka [SAP11018145]","nie","nie"
"4005","Kachamakova-Trojanowska, Neli [SAP12019380]","nie","nie"
"4005","Fedorowicz, Andrzej [SAP14003780]","nie","nie"
